No,Kode,Tahun,Laba_Bersih,Total_Aset
1,AALI,2019,7995597000000,26974124000000
1,AALI,2020,8533437000000,27781231000000
1,AALI,2021,9228733000000,30399906000000
1,AALI,2022,7006119000000,29249340000000
2,BISI,2019,624470000000,2941056000000
2,BISI,2020,456592000000,2914979000000
2,BISI,2021,404157000000,2728045000000
2,BISI,2022,360231000000,3050250000000
3,BUDI,2019,1714449000000,2999767000000
3,BUDI,2020,1640851000000,2963007000000
3,BUDI,2021,1605521000000,2993218000000
3,BUDI,2022,1728614000000,3173651000000
4,CEKA,2019,261784845240,1393079542074
4,CEKA,2020,305958833204,1566673828068
4,CEKA,2021,310020233374,1697387196209
4,CEKA,2022,168244583827,1718287453575
5,GOOD,2019,2297546907499,5063067672414
5,GOOD,2020,3702404632151,6570969641033
5,GOOD,2021,3724365876731,6766602000000
5,GOOD,2022,3975927432106,7327372000000
6,ICBP,2019,12038210000000,38709314000000
6,ICBP,2020,52842783000000,103588325000000
6,ICBP,2021,63074704000000,118015311000000
6,ICBP,2022,57832529000000,115305536000000
7,INDF,2019,41996071000000,96198559000000
7,INDF,2020,83357830000000,163136516000000
7,INDF,2021,92285331000000,179271840000000
7,INDF,2022,86810262000000,180433300000000
8,JPFA,2019,14754081000000,26650895000000
8,JPFA,2020,14539790000000,25951760000000
8,JPFA,2021,15486946000000,28589656000000
8,JPFA,2022,19036110000000,32690887000000
9,LSIP,2019,1726822000000,10225322000000
9,LSIP,2020,1615795000000,10922788000000
9,LSIP,2021,1659873000000,11851269000000
9,LSIP,2022,1481306000000,12417013000000
10,MYOR,2019,9125979000000,19037919000000
10,MYOR,2020,8506032000000,19777501000000
10,MYOR,2021,8557622000000,19917653000000
10,MYOR,2022,9441467000000,22276160000000
11,ROTI,2019,1589486465854,4682000000000
11,ROTI,2020,1205569956974,4452000000000
11,ROTI,2021,1321693219911,4191000000000
11,ROTI,2022,1449163077319,4130000000000
12,SKLT,2019,4100000000000,791000000000
12,SKLT,2020,3670000000000,774000000000
12,SKLT,2021,3470000000000,889000000000
12,SKLT,2022,4420000000000,1033000000000
13,TGKA,2019,1603873392263,2995872438975
13,TGKA,2020,1763283969693,3361956197960
13,TGKA,2021,1643370252313,3403961000000
13,TGKA,2022,2136471733079,4181761000000

